x,y,z
-0.40593475,11.420863,11.559738
-1.1961917,34.869392,5.3720474
8.791055,-0.13663368,10.913785
-0.34551546,23.412485,10.094728
-1.0417712,22.86838,10.700076
3.597824,19.627792,10.72196
8.906317,21.625532,10.046455
8.877393,1.3927392,8.205475
4.039226,19.019972,10.74536
7.4141636,22.38131,10.886417
2.6344316,36.546402,70.11831
0.9388979,0.61256725,13.377513
0.30496934,23.217924,10.308264
4.4631643,31.766628,72.84224
-0.71884584,16.42546,11.154106
8.974297,15.985847,10.604873
9.175786,14.679579,8.719601
9.25406,21.852222,7.4385924
5.703311,18.20315,10.905915
6.885466,6.074174,10.97193
9.44027,15.821648,7.3228784
3.488872,31.853891,71.30089
-0.70700103,15.528223,11.155898
9.026056,5.7914352,7.947707
1.5949174,-3.5178638,13.0252495
6.6266613,20.890856,10.965863
7.9643035,3.6317034,11.021457
9.395816,10.171932,7.6865134
-0.591601,13.984684,10.435917
-1.187038,31.588898,5.767464
17.50309,11.874919,5.632812
1.647099,2.6238916,10.786165
0.452125,21.30198,10.343937
-1.3268459,25.808527,9.794675
5.85404,20.677858,10.914124
5.1457896,1.9647478,10.994704
-1.7920663,35.12361,-3.1574047
-0.84465575,20.311268,10.806142
-1.2861435,39.788628,-5.7774205
1.6242212,14.946222,10.646057
229.63745,906.5779,950.48505
-0.8637445,19.978552,10.246034
4.985227,10.177922,10.949761
0.016927969,3.6660058,10.928658
9.076925,14.999331,9.965199
9.465699,18.862923,8.044119
9.112813,5.9062524,7.101396
-0.482759,9.363759,10.533499
0.023607736,-0.65697855,10.895589
15.418099,10.552607,7.7521744
16.638092,41.728233,76.440544
14.896649,10.122283,7.8932047
7.967146,12.3956,10.872904
0.35726607,9.427759,12.686844
3.379312,18.214035,10.651363
4.5452576,10.801885,10.852563
0.43094942,1.8977605,11.738752
15.4397335,12.135018,6.7643695
-1.3687022,28.88276,6.696365
2.9264333,17.538197,10.713154
3.2128599,5.7062225,10.891763
7.748005,10.239389,10.935715
-1.4435999,29.196157,3.9169755
7.759338,5.3281507,10.992752
3.685825,37.648384,67.58001
4.7724543,1.2860718,10.967206
4.4378505,8.11528,10.849648
1.3159596,21.84285,10.481316
2.6539872,10.449073,10.778659
-1.9739594,34.3499,-2.8242288
-1.0819056,22.065464,10.6174555
2.8897033,35.31127,70.82576
0.032345902,12.032287,13.155454
-1.5896871,32.45713,0.45272416
1.909821,18.203722,10.463032
4.4107895,19.987207,10.752044
19.253325,35.756927,69.105934
-1.430124,31.735126,3.9542432
8.689888,22.72792,10.825727
2.042504,7.5930223,10.879578
0.96256495,20.151178,10.429812
7.9327207,2.101514,11.156203
7.918431,18.93836,11.032008
2.402424,5.5494413,10.88025
17.78251,7.2035165,4.8967576
8.792575,21.202095,11.113147
8.98671,12.487838,9.642658
17.201542,12.565181,5.094871
5.0454535,19.69939,10.88916
7.7504263,14.329247,10.966385
-1.2869406,40.051582,-4.2917786
-2.7399402,-20.016182,-0.1728498
6.8422213,21.254303,10.9441185
8.170991,6.2299886,10.943259
